201103	30118	BIOC	297	1	N	Grad Res in BIOC Post-Qual I	 	AR	 	 	Charles Barlowe	 	 	 	2	 
201103	30119	BIOC	298	1	N	Grad Res in BIOC Post-Qual II	 	AR	 	 	Charles Barlowe	 	 	 	16	 
201103	30120	BIOC	299	1	N	Grad Res in BIOC Post Qual III	 	AR	 	 	Charles Barlowe	 	 	 	6	 
201103	30517	BIOL	4	1	N	Genes and Society	 	10A	105	Kemeny Hall	Robert Gross	 	SCI	 	22	IP
201103	32150	BIOL	7	1	Y	Invasive Species Soc & Environ	 	11	213	Baker Library	Jeffrey Evans	 	SCI	16	15	IP
201103	32151	BIOL	7	2	Y	Bioethical Issues	 	10	371	Berry Library	Justin Gaudet	 	SOC	16	16	IP
201103	30825	BIOL	9	1	N	Ind Res Hist&Phil of Biology	 	AR	 	 	Michael Dietrich	 	 	 	0	IP
201103	30605	BIOL	11	1	N	The Science of Life	 	9L	104	Wilder Hall	Mary Lou Guerinot, Brad Taylor	 	SCI	 	101	IP
201103	30606	BIOL	12	1	N	Cell Structure and Function	 	9L	101	Gilman Hall	Amy Gladfelter	 	SLA	 	52	IP
201103	31981	BIOL	12	2	N	Cell Structure and Function	 	9L	8	Kemeny Hall	George Schaller	 	SLA	 	54	IP
201103	30826	BIOL	16	1	N	Ecology	 	10	101	Gilman Hall	Kathryn Cottingham	 	SLA	 	31	IP
201103	31982	BIOL	28	1	N	Macroevolution	 	2A	101	Gilman Hall	Kevin Peterson	 	SCI	 	12	IP
201103	30608	BIOL	31	1	N	Physiological Ecology	 	10A	101	Gilman Hall	Matthew Ayres	 	SLA	 	17	IP
201103	30609	BIOL	35	1	N	Human Physiology	 	11	101	Gilman Hall	Samuel Velez	 	SCI	 	36	IP
201103	30203	BIOL	37	1	N	Endocrinology	 	10A	8	Kemeny Hall	Lee Witters	 	SCI	70	51	IP
201103	30610	BIOL	38	1	N	Experimental Genetic Analysis	 	12	216	Remsen Hall	C Robertson McClung	 	SLA	 	6	IP
201103	30932	BIOL	59	1	N	Biostatistics II	BIOL 129 01	9L	6	Kemeny Hall	Mark McPeek	 	QDS	 	12	IP
201103	30410	BIOL	71	1	N	Current Topics in Cell Biology	BIOL 171 01	2A	310	Gilman Hall	Elizabeth Smith	 	SCI	 	15	IP
201103	31983	BIOL	75	1	N	Genomic Circuitry	BIOL 175 01	10	310	Gilman Hall	Albert Erives	 	SCI	 	5	IP
201103	30751	BIOL	76	1	N	Advanced Genetics	BIOL 176 01	3A	310	Gilman Hall	Edward Berger	 	SCI	 	10	IP
201103	30611	BIOL	95	1	N	Independent Res Biology I	 	AR	 	 	Elizabeth Smith	 	 	 	7	IP
201103	30612	BIOL	96	1	N	Independent Res Biology II	 	AR	 	 	Elizabeth Smith	 	 	 	0	IP
201103	30613	BIOL	97	1	N	Honors Research in Biology	 	AR	 	 	Elizabeth Smith	 	 	 	3	IP
201103	30010	BIOL	99	1	N	Senior Seminar in Biology	 	AR	 	 	Thomas Jack	 	 	 	12	IP
201103	30424	BIOL	125	1	N	Nature and Practice of Science(Discussion)	 	AR	 	 	Matthew Ayres	 	 	 	11	 
201103	30827	BIOL	129	1	N	Biostatistics II	BIOL 059 01	9L	6	Kemeny Hall	Mark McPeek	 	 	 	12	 
201103	32228	BIOL	148	1	N	Polar Science, Policy & Ethics	ENVS 080 01	2A	108	Kemeny Hall	Ross Virginia	 	 	 	7	 
201103	30121	BIOL	169	1	N	Supervised Teaching in Biology	 	AR	 	 	Amy Gladfelter	 	 	 	16	 
201103	30425	BIOL	171	1	N	Current Topics in Cell Biology	BIOL 071 01	2A	310	Gilman Hall	Elizabeth Smith	 	 	 	15	 
